Cluster,Instruction,ACTION,QUANTITY,UNIT,INGREDIENT,TOOL,TEMPERATURE,STATE,GARNISH
0,Pour into an Ice-filled Rocks Glass,pour,,,ice,rocks glass,,,
3,Put everything  in a blender with about a cup and a half of ice,,,cup,ice,blender | cup,,,
2,Let the mixture sit for 24 hours for best results,,24,hours,,,,,
3,Pour Vodka and Dry Vermouth into cocktail shaker with ice,pour,,,dry vermouth | vodka | ice,shaker,,,
0,Enjoy immediately for the freshest flavor,,,,,,,,
5,Genmaicha Syrup: Bring 1 cup of water to a boil,boil,1,cup,water | syrup,cup,,,
5,Add a cherry on top,add | top,,,,,,,cherry
5,"Pecan-Infused Bourbon: In a small skillet over medium heat, toast 150 grams of pecans until lightly golden, about 5 minutes",heat,150 | 5,grams | minutes,bourbon | pecan,skillet,,infused,
3,"Place the sugar, water, and cinnamon sticks in a small saucepan",place,,,sugar | cinnamon | water,saucepan,,,
1,"Add the Johnnie Walker, Lemon Juice, Honey Syrup and shake",add | shake,,,lemon juice | honey syrup,,,,
1,Add grenadine for color while the mixture is blending,add,,,grenadine,,,,
1,Place the sugar mixture in a shallow plate,place,,,sugar,plate,,,
1,Pitcher variation:Muddle 1 pint strawberries,muddle,1,pint,,pitcher,,,
2,Pour the mixture into a wine goblet,pour,,,wine,goblet,,,
3,Mix all ingredients in a punch bowl and serve,mix | serve,,,,punch bowl,,,
4,"For an extra dramatic flair, place a sugar cube on top, ignite it, and serve with a straw",serve | top | place | ignite,,cube,sugar,,,,
1,"According to volume, set aside 1 g agar agar for every 3 3/4 oz liquid",set aside,1 | 3 3/4,oz | g,,,,,
4,Combine all ingredients in a double rocks glass over a large ice cube,combine,,cube,ice,rocks glass,,,
3,Garnish with a twist of lemon and a dusting of ground cinnamon,,,,lemon | cinnamon,,,ground,
4,Pour silver rum into cocktail shaker with ice,pour,,,silver rum | ice,shaker,,,
3,"Add the gin, lemon juice, syrup, and egg white to a cocktail shaker without ice",add,,,lemon juice | egg white | gin | ice | syrup,shaker,,,
0,Garnish with olives and a lime wedge,,,,,,,,lime wedge | olives
4,Drizzle chocolate sauce on top and sprinkle with chocolate chips,top | drizzle,,,chocolate,,,,
3,"Serve immediately and enjoy the creamy, banana-chocolatey flavors of your Choco Banana Smash!",serve,,,banana,,,,
0,Pour mix into ice pop bags and freeze until solid,pour | mix | freeze,,,ice,,,,
3,Garnish with a Silver Skin Onion,,,,onion,,,,
1,Dip the edge of the rim into a plate ofkosher salt,rim | dip,,,salt,plate,,,
0,"Drop strawberry slices, orange slices, mango slices, lime slices, and pineapple slices in a large punch bowl",drop,,drop | slices,lime | orange | pineapple | mango,punch bowl,,,strawberry
2,Stir the mixture 50 times to properly dilute the drink and remove the ice,stir | dilute,50,,ice,,,,
5,Chill a glass with ice or water and set it aside,,,,ice | water,glass,,,
3,Build in the order given in an ice-filled tall glass,build,,,ice,glass,,,
0,Shake all ingredients with ice in a mixing tin until well blended,shake,,,ice,,,,
2,In a shot glass mix Irish Cream and Irish Whiskey,mix,,shot,irish whiskey | irish cream,shot glass,hot,,
5,"Pour 0.5 oz of almond liqueur, 0.5 oz of peach liqueur, 0.5 oz of triple sec, 1 splash of grenadine syrup, 1 splash of lemonade, and 1 oz of sours over ice in a highball glass",pour | splash,0.5 | 1,oz | splash,grenadine syrup | almond liqueur | lemonade | peach | triple | sec | ice,highball glass,,,
4,Build in a tall glass in the order given,build,,,,glass,,,
5,Strain into a martini glass or over ice into a rocks glass,strain,,,ice,martini glass | rocks glass,,,
3,"To an ice filled glass add vanilla vodka, cinnamon whiskey and apple juice",add,,,vanilla vodka | apple juice | whiskey | cinnamon | ice,glass,,,
0,Fill the shaker with orange juice,fill,,,orange juice,shaker,,,
3,Let stand for a few minutes to chill,let stand,,minutes,,,,,
2,Strain the mixture into the prepared margarita glass,strain,,,,margarita glass,,,
3,Fold yolk mixture and whipped cream into egg whites,fold,,,egg whites,,,whipped,whipped cream
4,Bring to a boil and add 4 cups superfine sugar,add | boil,4,cups,sugar,,,,
2,"Add 1 oz white rum, 0.5 oz tropical-fruit liqueur, 0.5 oz orange liqueur, 1 tsp lime juice, and 1 oz lemonade to an old-fashioned glass half-filled with broken ice",add,1 | 0.5,oz | tsp,tropical-fruit liqueur | orange liqueur | lime juice | white rum | lemonade | ice,glass,,,
4,Strain into a martini glass or lowball glass withclear iceand serve,strain | serve,,,,martini glass | glass,,,
1,Top up with 100ml of San Pellegrino Sparkling Limone & Tea,top,100,,tea,,,,
3,Garnish with an apple slice inside glass,,,slice,,glass,,,apple slice
5,"Combine all the ingredients, except the soda, in a shaker with ice and shake well",shake | combine,,,ice,shaker,,,
3,Pour 2 parts sake and 1 part coconut milk into a glass,pour,2 | 1,part,coconut milk | sake,glass,,,
3,Pour 1 oz vodka and 2 oz coffee liqueur over the ice,pour,1 | 2,oz,coffee liqueur | vodka | ice,,,,
1,"If you would rather not serve these frozen, divide the mixture among 10 2-ounce cups",serve | divide,10 | 2,ounce | cups,,,,frozen,
4,Combine green creme de menthe with bacardi 151 and layer over Galliano,combine | layer,151,,creme de menthe | galliano,,,,
4,"Add all ingredients to a mixing tin, then add 3 standard ice cubes",add,3,cubes,ice,,,,
2,Add gelatin and leave to cool,add | cool,,,,,,,
1,"In a cocktail shaker, muddle the mint leaves to release their oils",muddle,,,mint leaves,shaker,,,
1,Cover and shake until the outside of the shaker has frosted.Strain into a chilled martini glass,shake | strain,,,,martini glass | shaker,chilled,frosted,
0,Combine all ingredients in a wine glass and add ice,add | combine,,,wine | ice,wine glass,,,
1,Shake the tomato juice before pouring,shake,,,tomato juice,,,,
5,"Pour in pineapple vodka, melon liqueur, pineapple juice, and top with lemon lime soda",pour | top,,,pineapple juice | melon liqueur | vodka | lemon | lime | pineapple,,,,
2,Stir gently to blend the flavors without shaking,blend | stir,,,,,,,
1,"Afterward, let cool",cool,,,,,,,
3,"In an ice filled glass combine spiced rum, blue curaçao and pineapple juice",combine,,,pineapple juice | spiced rum | ice,glass,,iced,
3,Splash soda and stir gently,stir | splash,,splash,,,,,
2,"Add the light rum, navy-strength rum, banana liqueur, blackberry liqueur, pineapple juice, lime juice and grenadine into a shaker with ice and shake until well-chilled",add | shake | light,,,navy-strength rum | pineapple juice | banana liqueur | lime juice | light rum | ice | grenadine,shaker,chilled,,blackberry
2,Garnish with a wedge or twist of lemon or grapefruit,,,,lemon | grapefruit,,,,
4,"Put a strainer over that half of the shaker tin so the ice won’t escape, and strain the ingredients into the other half of the shaker tin",strain,,,ice,shaker | strainer,,,
2,"In a cocktail shaker half-filled with cracked ice, pour 1 oz white rum, 1.5 oz blue curacao liqueur , 2 tbsp white creme de cacao, and 1 tsp cream",pour,1 | 1.5 | 2,oz | tbsp | tsp,curacao liqueur | creme de cacao | white rum | cream | ice,shaker,,,
4,"For more smoke, add more scotch to taste and stir",add | stir | taste,,,scotch,,,,
4,Fill a chilled old-fashioned glass with ice,fill,,,ice,glass,chilled,,
0,Serve immediately and enjoy the sweet and refreshing delight,serve,,,,,,,
2,Immediately dip the rim in the salt and chili powder mixture,rim | dip,,,salt,,,,
4,Garnish with pineapple wedge and remaining mint leaves,,,,mint leaves,,,,pineapple wedge
3,"Splash rum on top, and serve",serve | top | splash,,splash,rum,,,,
3,Add ice cream and beat mixture until smooth,add | beat,,,ice cream,,,,
4,Line the rims of your glasses with sugar for a sweet touch,,,,sugar,glasses,,,
1,Stir 1 more time to distribute flavors,stir | distribute,1,,,,,,
0,"Shake, strain into a shot glass, and serve",shake | strain | serve,,shot,,shot glass,hot,,
1,"Serve alongside garnish options of: pickled hami melon, pickled cucumbers, oyster shell and pineapple scrap tincture and kombu and citrus oil",serve,,,pineapple | pickled,,,,
5,Muddle half an Orange cut into wedges and Smirnoff Vodka in a Highball Glass,muddle | cut,,,vodka | orange,highball glass,,,
2,Fill a collins glass almost to the top with ice cubes,top | fill,,cubes,ice,collins glass,,,
2,Shake well until the mixture is thoroughly chilled and frothy,shake,,,,,chilled,,
1,Give the mixture a good shake to combine the ingredients well,shake | combine,,,,,,,
5,Muddle Orange Wedges with Sage-infused Simple Syrup in a Highball Glass,muddle,,,simple syrup | orange,highball glass,,infused,sage
1,Add a few drops of green curacao liqueur,add,,drops,curacao liqueur,,,,
1,Add a hint of blackcurrant squash and serve,add | serve,,,,,,,
2,Add 3-4 oz of orange juice to the glass,add,3 | 4,oz,orange juice,glass,,,
2,"Shake .5 oz orange liqueur, .5 oz chocolate liqueur, and .5 oz Irish cream in a cocktail shaker with ice",shake,.5,oz,chocolate liqueur | orange liqueur | irish cream | ice,shaker,,,
3,"Fill the glass halfway with citrus soda, being cautious as warm soda may foam and overflow",fill,,,,glass,warm,,foam
2,"In a blender combine the strawberry ice cream, strawberry vodka and cake vodka",combine,,,cake vodka | ice cream | vodka,blender,,,strawberry
3,Serve immediately and enjoy the spooky effect and delicious taste of the Cerebral Hemorrhage shot!,serve | taste,,shot,,,hot,,
3,"Pour the vodka, cran-apple juice and lime juice into a mule mug, highball glass or rocks glass filled with ice, and stir briefly to combine",pour | stir | combine,,,apple juice | lime juice | vodka | ice,highball glass | rocks glass | mug,,,
5,Remove the cocktail glass from the freezer and pour the mixture into the chilled glass,pour,,,,cocktail glass | glass,chilled,,
2,"Add 2 tsp anise, 0.5 tsp fennel, 4 cardamom pods, 0.5 tsp coriander, and 2 tsp angelica root to the vodka",add,2 | 0.5 | 4,tsp,vodka | cardamom | anise | fennel | coriander,,,,
1,Garnish with a Sage Leaf,,,,,,,,sage
1,Pour rum and coffee-flavored liqueur into a decorative coffee glass,pour,,,coffee-flavored liqueur | rum | coffee,glass,,,
3,Garnish with a watermelon rock candy stirrer,,,,watermelon,stirrer,,,rock candy
1,Garnish with a Gordal olive stuffed with Gorgonzola,,,,,,,,olive
0,"Add the toasted coconut to a small saucepan along with 12 oz. of coconut water and 6 oz. of granulated sugar, and whisk over medium heat until the sugar is fully dissolved",add | heat | whisk,12 | 6,oz,sugar | water,whisk | saucepan,,dissolved,toasted coconut
1,Zest and drop in a grapefruit peel for garnish,drop,,drop,grapefruit,,,,
4,Shake the mix well,shake | mix,,,,,,,
3,Add 0.5 oz Green creme de menthe,add,0.5,oz,creme de menthe,,,,
1,Fill a pint glass or goblet with 1 1/2 cups ice,fill,1 1/2,cups | pint,ice,glass | goblet,,,
0,Sink a cocktail cherry to the bottom and float the bitters on top,top | float,,,,,,,cherry
0,Chug the drink immediately and enjoy,,,,,,,,
3,"Stir in lemon juice to taste, adjusting the amount depending on how tangy you like it",stir | taste,,,lemon juice,,,,
3,Strain into an ice-filled glass and top with the sparkling water,strain | top,,,sparkling water | ice,glass,,,
1,Serve immediately and enjoy the tropical spiced rum delight,serve,,,spiced rum,,,iced,
1,"Pour the mixture into a saucepan and warm over low heat, continuously whisking",pour | heat,,,,saucepan,warm,,
0,"Stir well to combine the liqueur and water, then serve immediately",stir | combine | serve,,,water,,,,
3,Garnish with raspberries on a spear,,,,,,,,
5,Pour over Everclear and Vodka,pour,,,vodka,,,,
1,"Combine the gin, Suze and Lillet Blanc in a cocktail mixing glass",combine,,,gin,glass,,,
1,"Pour the vodka, simple syrup and lemon juice into a highball glass filled with ice",pour,,,simple syrup | lemon juice | vodka | ice,highball glass,,,
1,Strain the cocktail into 4 margarita glasses; garnish each cocktail with a few pomegranate seeds,strain,4,,pomegranate,glasses,,,
3,Scoop mix into snow cone cups,mix,,cups | scoop,,,,,
4,Taste and adjust the seasonings to your liking,taste,,,,,,,
1,Add citrus vodka and blue curacao,add,,,blue curacao | citrus vodka,,,,
1,Strain the beans out of the vermouth and discard,strain,,,,,,,
2,Garnish the drink with a lime wedge and serve immediately,serve,,,,,,,lime wedge
3,Garnish the drink with a slice of orange on the rim of the glass,rim,,slice,orange,glass,,,
3,"Place a large ice rock into the glass and stir until cold, about 10 seconds",stir | place,10,seconds,ice,glass,cold,,
1,Place the coffee and spices in the filter cone of your coffee maker,place | filter,,,coffee,,,,
0,Top the mixture with 3 oz pineapple juice,top,3,oz,pineapple juice,,,,
0,"Serve immediately and enjoy this light, refreshing cocktail",serve | light,,,,,,,
1,"Shake with ice and strain into a chilled cocktail glass, wine glass, or pimp goblet",shake | strain,,,wine | ice,cocktail glass | wine glass | goblet,chilled,,
3,Garnish with whipped cream and freshly ground nutmeg,,,,,,,whipped | ground,whipped cream | nutmeg
5,"Serve immediately and enjoy the rich, creamy flavors of the Buttercream Tea!",serve,,,tea,,,,
5,"In a punch bowl, combine the tequila, lime juice and agave syrup",combine,,,agave syrup | lime juice | tequila,punch bowl,,,
2,Fill a glass 2/3 full with ice,fill,2/3,,ice,glass,,,
0,Evenly press the crust into the bottom and sides of the pie plate,press,,,,press | plate,,,
2,"Garnish with a kiwi wheel, a tropical edible flower, or a pineapple flag for a festive touch",,,wheel,pineapple | kiwi,,,,edible flower
3,FIne strain into an ice-filled Rocks Glass,strain | fine strain,,,ice,rocks glass,,,
1,"In a cocktail shaker filled with ice, combine 1 oz vodka, 1 oz blue curacao liqueur , 1 tsp honey, and 1 oz lime juice",combine,1,oz | tsp,curacao liqueur | lime juice | vodka | honey | ice,shaker,,,
0,"Fill the empty can again, this time with raspberry schnapps, and pour it into the pitcher",pour | fill,,,,pitcher,,,raspberry
3,Garnish with an orange wedge and a cherry on a pick,,,,,,,,orange wedge | cherry
1,Add 2 oz of Blue curacao,add,2,oz,blue curacao,,,,
1,Add this to the main bowl and mix until well combined,add | mix,,,,bowl,,,
3,"This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez",,4/5,,lime | salt,glass,,,
5,"Serve immediately and enjoy the smooth, tropical taste of the Go With the Flow Cocktail",serve | taste,,,,,,,
5,"Add Juices: Pour 1 oz each of orange juice, cranberry juice, and pineapple juice on top",add | pour | top,1,oz,pineapple juice | cranberry juice | orange juice,,,,
0,Add the mint and lime juice to a shaker,add,,,lime juice,shaker,,,
1,"Pour in 2.5 oz club soda, stirring gently to mix",pour | mix,2.5,oz,club soda,,,,
5,Top off with more Champagne as desired!,top | top off,,,champagne,,,,
5,Mix jello and gelatin in boiling water,mix,,,water,,,boiling,
3,Peel and quarter the kiwifruit and muddle it in a shaker along with the mint and vanilla syrup,muddle,,,vanilla syrup,shaker,,,peel
0,Fill to desired level with ginger ale,fill,,,ginger ale,,,,
1,Top with coconut soda,top,,,coconut,,,,
4,Add the berries to a wide-mouthed infusion jar and fill with vodka,add | fill,,,vodka,jar,,,
